[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000466s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000540s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ view_template ] --START--
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001049s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001101s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009140s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009225s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000739s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000663s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000851s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000702s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003099s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ view_end ] --START--
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000758s ]
[ 2013-04-21T14:36:04+08:00 ] /attendance/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000803s ]
[ 2013-04-21T14:36:12+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526172794&start=&end=&page=1&limit=20 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T14:36:12+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526172794&start=&end=&page=1&limit=20 | INFO: Run CheckRoute Behavior [ RunTime:0.001138s ]
[ 2013-04-21T14:36:12+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526172794&start=&end=&page=1&limit=20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001226s ]
[ 2013-04-21T14:36:12+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526172794&start=&end=&page=1&limit=20 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T14:36:12+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526172794&start=&end=&page=1&limit=20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000883s ]
[ 2013-04-21T14:36:12+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526172794&start=&end=&page=1&limit=20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000938s ]
[ 2013-04-21T14:36:12+08:00 ] /attendance/index.php/Attendance/getPersonAttendance?_dc=1366526172794&start=&end=&page=1&limit=20 | NOTIC: [8] Undefined index:  query AttendanceAction.class.php 第 43 行.
[ 2013-04-21T14:36:22+08:00 ] /attendance/index.php/Lib/getStartYear?_dc=1366526181693&query=&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T14:36:22+08:00 ] /attendance/index.php/Lib/getStartYear?_dc=1366526181693&query=&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.000735s ]
[ 2013-04-21T14:36:22+08:00 ] /attendance/index.php/Lib/getStartYear?_dc=1366526181693&query=&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000818s ]
[ 2013-04-21T14:36:22+08:00 ] /attendance/index.php/Lib/getStartYear?_dc=1366526181693&query=&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T14:36:22+08:00 ] /attendance/index.php/Lib/getStartYear?_dc=1366526181693&query=&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000475s ]
[ 2013-04-21T14:36:22+08:00 ] /attendance/index.php/Lib/getStartYear?_dc=1366526181693&query=&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000522s ]
[ 2013-04-21T14:36:22+08:00 ] /attendance/index.php/Lib/getStartYear?_dc=1366526181693&query=&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `schedule` [ RunTime:0.002303s ]
[ 2013-04-21T14:36:22+08:00 ] /attendance/index.php/Lib/getStartYear?_dc=1366526181693&query=&page=1&start=0&limit=25 | SQL: SELECT `year` as `start_year` FROM `schedule` GROUP BY `start_year`  [ RunTime:0.000533s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartTerm?_dc=1366526185008&query=1%2C2012&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartTerm?_dc=1366526185008&query=1%2C2012&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.000980s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartTerm?_dc=1366526185008&query=1%2C2012&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001114s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartTerm?_dc=1366526185008&query=1%2C2012&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartTerm?_dc=1366526185008&query=1%2C2012&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000618s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartTerm?_dc=1366526185008&query=1%2C2012&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000709s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartTerm?_dc=1366526185008&query=1%2C2012&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `schedule` [ RunTime:0.003076s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartTerm?_dc=1366526185008&query=1%2C2012&page=1&start=0&limit=25 | SQL: SELECT `term` as `start_term` FROM `schedule` WHERE `year`=2012 GROUP BY `start_term`  [ RunTime:0.000593s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.001035s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001155s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000728s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000800s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `schedule` [ RunTime:0.003868s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | SQL: SELECT max(`startweek`) as start,max(`endweek`) as end FROM `schedule` WHERE `year`=2012 and `term`=1  [ RunTime:0.000313s ]
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:25+08:00 ] /attendance/index.php/Lib/getStartWeek?_dc=1366526185955&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 210 行.
[ 2013-04-21T14:36:27+08:00 ] /attendance/index.php/Lib/getEndYear?_dc=1366526187564&query=&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T14:36:27+08:00 ] /attendance/index.php/Lib/getEndYear?_dc=1366526187564&query=&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.001081s ]
[ 2013-04-21T14:36:27+08:00 ] /attendance/index.php/Lib/getEndYear?_dc=1366526187564&query=&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001207s ]
[ 2013-04-21T14:36:27+08:00 ] /attendance/index.php/Lib/getEndYear?_dc=1366526187564&query=&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T14:36:27+08:00 ] /attendance/index.php/Lib/getEndYear?_dc=1366526187564&query=&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000649s ]
[ 2013-04-21T14:36:27+08:00 ] /attendance/index.php/Lib/getEndYear?_dc=1366526187564&query=&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000717s ]
[ 2013-04-21T14:36:27+08:00 ] /attendance/index.php/Lib/getEndYear?_dc=1366526187564&query=&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `schedule` [ RunTime:0.002308s ]
[ 2013-04-21T14:36:27+08:00 ] /attendance/index.php/Lib/getEndYear?_dc=1366526187564&query=&page=1&start=0&limit=25 | SQL: SELECT `year` as `end_year` FROM `schedule` GROUP BY `end_year`  [ RunTime:0.000368s ]
[ 2013-04-21T14:36:31+08:00 ] /attendance/index.php/Lib/getEndTerm?_dc=1366526191902&query=1%2C2012&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T14:36:31+08:00 ] /attendance/index.php/Lib/getEndTerm?_dc=1366526191902&query=1%2C2012&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.001104s ]
