[ 2013-04-22T10:21:13+08:00 ] /attendance/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T10:21:13+08:00 ] /attendance/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.067554s ]
[ 2013-04-22T10:21:13+08:00 ] /attendance/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.103240s ]
[ 2013-04-22T10:21:13+08:00 ] /attendance/ | INFO: Tag[ view_template ] --START--
[ 2013-04-22T10:21:13+08:00 ] /attendance/ | INFO: Run LocationTemplate Behavior [ RunTime:0.049762s ]
[ 2013-04-22T10:21:13+08:00 ] /attendance/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.049843s ]
[ 2013-04-22T10:21:13+08:00 ] /attendance/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Run ParseTemplate Behavior [ RunTime:0.135219s ]
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.135321s ]
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Run ContentReplace Behavior [ RunTime:0.019992s ]
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Run TokenBuild Behavior [ RunTime:0.037785s ]
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001142s ]
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001280s ]
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.060388s ]
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Tag[ view_end ] --START--
[ 2013-04-22T10:21:14+08:00 ] /attendance/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.013960s ]
