[ 2013-04-03T10:22:56+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T10:22:56+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001937s ]
[ 2013-04-03T10:22:56+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002216s ]
[ 2013-04-03T10:30:28+08:00 ] /attendance/login.php | ERR: (ThinkException) 模板不存在[./login/Tpl/Index/index.html]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001542s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001640s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001660s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001721s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.023924s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023987s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.001022s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.001645s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000972s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000998s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004788s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001035s ]
[ 2013-04-03T10:31:08+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001076s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000714s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000780s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000556s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000602s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.007008s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007067s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000598s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.001377s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000694s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000625s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003447s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000661s ]
[ 2013-04-03T10:31:12+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000704s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001306s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001373s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001621s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001678s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009563s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009624s ]
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T10:33:28+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000784s ]
