[ 2013-04-21T23:56:26+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366559786345&page=1&start=0&limit=20 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T23:56:26+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366559786345&page=1&start=0&limit=20 | INFO: Run CheckRoute Behavior [ RunTime:0.000881s ]
[ 2013-04-21T23:56:26+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366559786345&page=1&start=0&limit=20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000982s ]
[ 2013-04-21T23:56:26+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366559786345&page=1&start=0&limit=20 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T23:56:26+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366559786345&page=1&start=0&limit=20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000714s ]
[ 2013-04-21T23:56:26+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366559786345&page=1&start=0&limit=20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000793s ]
[ 2013-04-21T23:56:26+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366559786345&page=1&start=0&limit=20 | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.003771s ]
[ 2013-04-21T23:56:26+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366559786345&page=1&start=0&limit=20 | SQL: SELECT `notice`.`id` AS `id`, `notice`.`name` AS `name`, `notice`.`content` AS `content`, `notice`.`teacherid` AS `teacherid`, `notice`.`time` AS `time`, `notice`.`studentid` AS `studentid`, `notice`.`status` AS `status`, `notice`.`isAll` AS `isAll`, `teacher`.`name` AS `teachername`, `student`.`name` AS `studentname`, `student`.`number` AS `studentnumber` FROM `notice` LEFT JOIN `student` ON `student`.`number`=`notice`.`studentid` LEFT JOIN `teacher` ON `teacher`.`number`=`notice`.`teacherid` WHERE `notice`.`teacherid`='144200' ORDER BY `notice`.`id` DESC LIMIT 0, 20 [ RunTime:0.041151s ]
[ 2013-04-21T23:56:26+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366559786345&page=1&start=0&limit=20 | SQL: SELECT * FROM `notice` WHERE `notice`.`studentid`=144200  [ RunTime:0.000909s ]
[ 2013-04-21T23:57:30+08:00 ] /attendance/teacher.php/Notice/sendmail/data/%7B%22classNotice-checkbox%22:%22on%22,%22grade%22:%222009%22,%22familyid%22:1,%22classid%22:1,%22noticeClassTitle%22:%22fas%22,%22noticeClassContent%22:%22fas%22%7D | INFO: Tag[ route_check ] --START--
[ 2013-04-21T23:57:30+08:00 ] /attendance/teacher.php/Notice/sendmail/data/%7B%22classNotice-checkbox%22:%22on%22,%22grade%22:%222009%22,%22familyid%22:1,%22classid%22:1,%22noticeClassTitle%22:%22fas%22,%22noticeClassContent%22:%22fas%22%7D | INFO: Run CheckRoute Behavior [ RunTime:0.001159s ]
[ 2013-04-21T23:57:30+08:00 ] /attendance/teacher.php/Notice/sendmail/data/%7B%22classNotice-checkbox%22:%22on%22,%22grade%22:%222009%22,%22familyid%22:1,%22classid%22:1,%22noticeClassTitle%22:%22fas%22,%22noticeClassContent%22:%22fas%22%7D | INFO: Tag[ route_check ] --END-- [ RunTime:0.001273s ]
[ 2013-04-21T23:57:30+08:00 ] /attendance/teacher.php/Notice/sendmail/data/%7B%22classNotice-checkbox%22:%22on%22,%22grade%22:%222009%22,%22familyid%22:1,%22classid%22:1,%22noticeClassTitle%22:%22fas%22,%22noticeClassContent%22:%22fas%22%7D | INFO: Tag[ app_begin ] --START--
